city,address,x,y,technology,parsedAddress,parsedLon,parsedLat
Київ,"вулиця Княжий Затон, 17","30,6201755","50,4014794",,"17, вулиця Княжий Затон, 10-й мікрорайон, Позняки, Дарницький район, Київ, 02095, Україна",30.62003437103983,50.401560149999995
Київ,"вулиця Княжий Затон, 17А","30,6205703","50,4010797",,"17-А, вулиця Княжий Затон, 10-й мікрорайон, Позняки, Дарницький район, Київ, 02095, Україна",30.620660186736956,50.40107035
Київ,"вулиця Княжий Затон, 17Б","30,620697","50,4004399",,"17-Б, вулиця Княжий Затон, 10-й мікрорайон, Позняки, Дарницький район, Київ, 02095, Україна",30.620796786164213,50.400379650000005
Київ,"вулиця Княжий Затон, 19","30,6189565","50,4013571",,"19, вулиця Княжий Затон, 10-й мікрорайон, Позняки, Дарницький район, Київ, 02095, Україна",30.618986672683043,50.40133325
Київ,"вулиця Княжий Затон, 3","30,6272404","50,4018484",,"3, вулиця Княжий Затон, 10-й мікрорайон, Позняки, Дарницький район, Київ, 02055, Україна",30.627353449233638,50.401885449999995
Київ,"вулиця Княжий Затон, 5","30,6264975","50,4017751",,"5, вулиця Княжий Затон, 10-й мікрорайон, Позняки, Дарницький район, Київ, 02055, Україна",30.626616520811645,50.4019182
Київ,"вулиця Княжий Затон, 7","30,625798","50,4020415",,"7, вулиця Княжий Затон, 10-й мікрорайон, Позняки, Дарницький район, Київ, 02055, Україна",30.625935795032795,50.40198895
Київ,"вулиця Срібнокільська, 14","30,6226632","50,3991235",,"14, Срібнокільська вулиця, 10-й мікрорайон, Осокорки, Дарницький район, Київ, 02072, Україна",30.623140708038477,50.399399700000004
Київ,"вулиця Срібнокільська, 14А","30,6238161","50,4003517",,"14-А, Срібнокільська вулиця, 10-й мікрорайон, Осокорки, Дарницький район, Київ, 02072, Україна",30.623635666203185,50.4003314
Київ,"вулиця Срібнокільська, 16","30,6206125","50,3987735",,"16, Срібнокільська вулиця, 10-й мікрорайон, Осокорки, Дарницький район, Київ, 02072, Україна",30.620972102206608,50.3988577
Київ,"вулиця Срібнокільська, 24","30,6180228","50,4009481",,"24, Срібнокільська вулиця, 10-й мікрорайон, Позняки, Дарницький район, Київ, 02095, Україна",30.61806536506088,50.400808299999994
Київ,"вулиця Срібнокільська, 24А","30,6188941","50,4009355",,"24-А, Срібнокільська вулиця, 10-й мікрорайон, Позняки, Дарницький район, Київ, 02095, Україна",30.61892151666671,50.4009136
Київ,"вулиця Срібнокільська, 22А","30,6197836","50,399359",,"22-А, Срібнокільська вулиця, 10-й мікрорайон, Осокорки, Дарницький район, Київ, 02072, Україна",30.62035697391105,50.39951935
Київ,"вулиця Урлівська, 9","30,6203093","50,4059619",,"9, Урлівська вулиця, 9-й мікрорайон, Позняки, Дарницький район, Київ, 02095, Україна",30.61935168279245,50.405728249999996
Київ,"вулиця Анни Ахматової, 41","30,6189631","50,4051869",,"41, вулиця Анни Ахматової, 9-й мікрорайон, Позняки, Дарницький район, Київ, 02095, Україна",30.61894701903649,50.405309450000004
Київ,"вулиця Анни Ахматової, 39б","30,6205453","50,4063465",,"39-Б, вулиця Анни Ахматової, 9-й мікрорайон, Позняки, Дарницький район, Київ, 02095, Україна",30.618400171508,50.4042185
Київ,"вулиця Княжий Затон, 16Б","30,6163986","50,403247",,"16-Б, вулиця Княжий Затон, 9-й мікрорайон, Позняки, Дарницький район, Київ, 02095, Україна",30.616447,50.4031903
Київ,"вулиця Княжий Затон, 16В","30,6160718","50,4028241",,"16-В, вулиця Княжий Затон, 9-й мікрорайон, Позняки, Дарницький район, Київ, 02095, Україна",30.616112222085967,50.40285075
Київ,"вулиця Княжий Затон, 14В","30,6160767","50,4020708",,"14-В, вулиця Княжий Затон, 9-й мікрорайон, Позняки, Дарницький район, Київ, 02095, Україна",30.6161138,50.40213525
Київ,"вулиця Княжий Затон, 12","30,6180066","50,402105",,"12, вулиця Княжий Затон, 9-й мікрорайон, Позняки, Дарницький район, Київ, 02095, Україна",30.61813275172878,50.402277
Київ,"вулиця Соломії Крушельницької, 13","30,6475254","50,3913242",,"13, вулиця Соломії Крушельницької, 9-й мікрорайон Осокорків, Осокорки, Дарницький район, Київ, 02140, Україна",30.647605399999996,50.3912948
Київ,"проспект Павла Тичини, 18Б","30,6035822","50,4281525",,"Приватний садок m.kids Березняки - ""Мандаринка"", 18Б, проспект Павла Тичини, Березняки, Дніпровський район, Київ, 02159, Україна",30.6031359,50.4275774
Київ,"вулиця Вишняківська, 12А","30,6473703","50,3960042",,"12-А, Вишняківська вулиця, 11-й мікрорайон, Осокорки, Дарницький район, Київ, 02149, Україна",30.64737615,50.39606955
Київ,"вулиця Вишняківська, 8А","30,6486847","50,3960797",,"8-А, Вишняківська вулиця, 11-й мікрорайон, Осокорки, Дарницький район, Київ, 02149, Україна",30.648720949999998,50.396077649999995
Київ,"вулиця Лариси Руденко, 9","30,6430285","50,3970747",,"9, вулиця Лариси Руденко, 9-й мікрорайон Осокорків, Осокорки, Дарницький район, Київ, 02149, Україна",30.643082099857843,50.3971119
Київ,"вулиця Ревуцького, 42","30,6511167","50,3988802",,"42, вулиця Ревуцького, 10-й мікрорайон Осокорків, Харківський масив, Дарницький район, Київ, 02102, Україна",30.651140050000002,50.39885165
Київ,"вулиця Ревуцького, 42А","30,6515508","50,3983929",,"42-А, вулиця Ревуцького, 10-й мікрорайон Осокорків, Осокорки, Дарницький район, Київ, 02102, Україна",30.651541275697415,50.39842155
Київ,"вулиця Вишняківська, 13Б","30,6451926","50,3937485",,"13-Б, Вишняківська вулиця, 11-й мікрорайон, Осокорки, Дарницький район, Київ, 02149, Україна",30.64518815082213,50.393753950000004
Київ,"вулиця Вишняківська, 17","30,6438786","50,3942734",,"17, Вишняківська вулиця, 11-й мікрорайон, Осокорки, Дарницький район, Київ, 02149, Україна",30.644031094500725,50.39437165
Київ,"вулиця Лариси Руденко, 21","30,6435085","50,3935989",,"21, вулиця Лариси Руденко, 11-й мікрорайон, Осокорки, Дарницький район, Київ, 02149, Україна",30.643645028085103,50.3936919
Київ,"вулиця Лариси Руденко, 21А","30,643882","50,3930233",,"21-А, вулиця Лариси Руденко, 11-й мікрорайон, Осокорки, Дарницький район, Київ, 02149, Україна",30.644597274699414,50.3931882
Київ,"вулиця Соломії Крушельницької, 15","30,6481549","50,3909046",,"15, вулиця Соломії Крушельницької, 9-й мікрорайон Осокорків, Осокорки, Дарницький район, Київ, 02140, Україна",30.648181151648558,50.3909092
Київ,"вулиця Соломії Крушельницької, 15А","30,6485714","50,3913768",,"15-А, вулиця Соломії Крушельницької, 9-й мікрорайон Осокорків, Осокорки, Дарницький район, Київ, 02140, Україна",30.64872415,50.3913522
Київ,"вулиця Соломії Крушельницької, 15Б","30,6493221","50,3918432",,"15-Б, вулиця Соломії Крушельницької, 9-й мікрорайон Осокорків, Осокорки, Дарницький район, Київ, 02140, Україна",30.649256399999995,50.3917775
Київ,"вулиця Соломії Крушельницької, 15В","30,6495569","50,3923397",,"Oladka, 15В, вулиця Соломії Крушельницької, 11-й мікрорайон Осокорків, Осокорки, Дарницький район, Київ, 02149, Україна",30.6494865,50.3921424
Київ,"вулиця Вишняківська, 13А","30,64663","50,3937608",,"13-А, Вишняківська вулиця, 11-й мікрорайон, Осокорки, Дарницький район, Київ, 02149, Україна",30.646629893217668,50.39378175
Київ,"вулиця Микільсько-Слобідська, 4А","30,5906355","50,4558368",,"4-А, Микільсько-Слобідська вулиця, Лівобережний масив, Дніпровський район, Київ, 02002, Україна",30.59067674999999,50.45578705
